0	6
2	9
46	15
14	22
37	53
44	51
20	58
25	56
31	40
19	55
14	36
2	43
40	33
39	37
17	35
19	36
16	44
25	49
25	50
13	39
8	38
12	30
25	22
29	28
20	59
0	52
41	45
41	51
20	7
2	20
4	28
11	32
40	8
43	1
47	25
25	54
39	42
40	32
9	50
8	11
6	18
6	20
43	5
8	43
36	6
41	30
4	8
6	9
23	25
13	31
1	35
19	61
37	40
24	4
17	28
37	41
12	15
29	2
41	0
18	24
42	10
24	46
45	62
29	18
45	19
44	18
2	51
7	46
32	31
26	37
39	6
37	3
17	14
42	33
40	3
40	3
44	13
20	54
28	38
39	39
37	61
40	60
21	6
24	12
22	32
38	14
45	9
17	6
41	35
7	36
0	36
46	60
3	50
16	21
23	38
41	22
11	0
34	17
23	43
21	40
27	43
41	48
41	43
33	56
7	23
8	23
37	40
15	29
43	61
37	39
33	33
28	33
31	29
27	54
9	51
11	37
34	48
29	32
13	34
18	40
0	10
5	31
37	2
11	0
13	38
9	29
12	40
8	53
23	3
22	4
41	15
40	49
16	56
38	63
28	43
6	39
14	23
14	23
2	48
30	20
27	10
26	56
37	17
8	32
11	19
14	0
14	38
11	32
6	42
5	50
35	25
36	39
18	28
18	20
23	21
42	29
36	0
35	0
7	6
4	13
22	1
20	59
17	2
12	8
32	37
37	1
28	14
9	26
35	26
20	9
24	39
22	38
30	6
19	29
21	60
20	46
19	33
20	39
26	47
19	39
1	34
3	10
35	53
35	59
22	14
13	33
38	21
34	33
36	52
13	60
23	37
36	32
31	55
19	38
37	12
38	40
4	42
21	31
0	11
19	1
6	50
38	19
45	17
47	23
21	33
32	55
1	54
31	61
39	20
18	19
43	21
21	34
38	55
33	15
4	17
4	17
37	39
13	11
14	53
13	53
46	28
45	23
2	55
2	45
7	42
22	34
5	12
35	5
7	34
7	35
32	0
31	0
2	50
5	43
0	16
13	26
8	12
30	45
17	24
9	21
26	3
11	40
3	26
14	14
19	21
8	32
19	39
6	0
0	4
22	12
8	57
16	22
19	58
17	49
19	43
17	47
21	31
30	50
34	5
14	20
35	49
16	35
36	36
44	48
32	36
16	46
8	23
47	62
6	45
46	6
30	37
20	42
6	23
2	18
28	2
27	3
6	11
4	17
3	23
3	43
39	4
38	1
27	54
17	40
6	16
10	36
8	27
30	6
45	17
39	44
17	43
1	29
23	41
41	42
15	2
15	15
19	53
5	42
34	37
27	33
23	10
24	63
41	33
24	29
34	36
42	26
36	21
43	23
23	26
47	29
43	16
38	59
8	14
42	15
32	13
33	15
24	31
23	32
31	46
4	25
26	1
40	7
6	14
16	27
3	32
31	14
35	55
30	43
46	31
42	26
21	20
23	39
33	37
7	14
16	33
24	43
36	52
34	49
28	18
27	20
31	40
32	30
14	14
14	12
19	12
27	13
23	33
35	58
41	51
40	60
18	58
38	27
24	52
12	27
35	26
40	45
24	13
8	10
38	41
23	58
6	45
3	33
26	36
30	44
7	35
44	17
26	47
29	43
9	16
32	45
25	36
11	0
40	9
30	11
34	33
23	41
2	10
37	34
24	23
18	24
30	36
34	20
18	52
39	36
4	51
2	54
18	63
21	6
11	63
1	41
24	54
31	45
9	60
2	63
35	8
13	60
0	61
5	58
37	53
25	44
14	44
15	43
37	53
11	25
41	29
25	24
2	37
25	56
43	39
4	51
23	55
18	1
26	43
31	57
27	7
30	36
40	46
46	49
38	36
40	33
18	25
10	5
8	53
3	45
30	7
33	19
34	25
41	4
25	13
35	1
14	50
46	22
17	49
20	42
37	20
44	21
31	25
25	23
47	20
40	27
45	9
23	6
23	41
8	23
4	38
1	37
6	53
17	46
3	10
23	15
2	59
3	61
47	22
4	62
33	40
34	45
17	33
41	23
24	41
41	52
29	55
24	27
46	25
31	55
11	22
6	24
46	38
13	40
45	42
38	49
13	41
30	47
3	48
1	54
12	61
13	38
6	50
0	34
45	16
13	13
8	43
28	48
35	31
8	51
40	30
27	55
39	18
40	27
39	21
6	63
19	56
43	60
5	55
7	52
26	27
22	25
4	27
31	40
30	54
47	36
44	41
11	58
27	52
46	17
4	47
5	54
43	15
19	44
4	32
27	21
23	53
24	54
2	54
8	59
7	57
17	25
15	34
39	6
38	11
10	3
25	36
27	45
34	21
34	20
35	31
36	58
27	23
5	56
11	3
16	6
2	35
15	9
40	44
36	6
24	25
28	36
31	59
26	60
14	32
25	35
43	0
38	1
15	50
21	49
24	31
6	16
44	49
44	27
26	38
26	52
25	39
6	34
24	6
31	50
18	3
8	2
32	12
25	22
25	30
17	1
13	23
38	29
43	13
43	12
3	12
17	39
26	52
40	24
45	29
38	29
40	17
33	9
11	4
20	7
16	1
34	26
33	63
5	39
2	9
19	33
21	55
17	22
23	32
33	26
43	8
39	4
41	28
29	35
18	49
